,region,region_std,extrap,insample,gap,premium
"C1 composite(3, greedy)",0.6086454591668884,0.09676256314865175,0.6916631440276791,0.6359615820696547,0.027316122902766304,0.08277332830353323
"C2 composite(12, NO selection)",0.5258721308633552,0.10140494323981195,0.5655188206991649,0.5403758919467814,0.014503761083426214,0.0
C3 monotone_gbm(12 causal),0.5290485085878496,0.09536304802180869,0.7376953528629804,0.8525777290931335,0.3235292205052839,0.003176377724494417
C4 monotone_gbm(3 causal),0.5507710722391094,0.10092726997406656,0.5116654248678436,0.6674751741579138,0.11670410191880443,0.024898941375754213
C5 plain_gbm(12 causal),0.625892995972245,0.09970325861905147,0.4917898225679134,0.9934757650964942,0.36758276912424914,0.10002086510888986
C6 plain_gbm(ALL numeric),0.8523028704175074,0.06252197850479298,0.9116609390414571,0.9996045418912387,0.1473016714737313,0.32643073955415225
