cfg,cv,cv_std,cv_win,ho,ho_std,ho_win
"A_default   (leaves15,mcs20,ne400)",0.0,0.0,0,0.0,0.0,0
"B_shallow   (leaves7, mcs40)",-0.0007371886667888991,0.023080243163845816,4,0.0105623348231011,0.03377785455777757,6
"C_veryshallow(leaves4,mcs60)",-0.010441445658391045,0.02565366242658293,2,0.006546531963455712,0.019838233157772025,5
"D_stumps    (depth2, mcs60)",-0.04840537793502522,0.03672574886076943,2,-0.001609460418527377,0.028685675880849342,5
"E_shallow+L2(leaves7,mcs40,l2=10)",0.004665043074957262,0.02137679021813589,4,0.0044322201888824875,0.02616475926727819,7
"F_shallow+fewtrees(leaves7,ne150)",0.003908058508419173,0.030414197553920955,4,-0.00638998959323906,0.01819525078301523,4
"G_deep      (leaves31,mcs10)",0.007241046962264092,0.02680946489993977,6,0.0037357159274994684,0.025251291182179388,4
