,region,region_std,insample,gap,extrap
A unfitted_composite,0.5709297713091369,0.10510316690297586,0.5879486915530939,0.017018920243957014,0.5937140329204098
"B monotone_gbm(causal,13)",0.6329299270562845,0.095194951463437,0.8835957525695437,0.2506658255132592,0.8759002941509405
C monotone_gbm(tiny),0.6419270108986249,0.0928435543939011,0.8553164966019092,0.2133894857032843,0.8005595410026929
D plain_gbm(no style),0.7634240581829226,0.086255335509195,0.9842757149750373,0.22085165679211471,0.6690416933757425
E plain_gbm(ALL numeric),0.8523028704175074,0.06252197850479298,0.9996045418912387,0.1473016714737313,0.9116609390414571
